pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
stevesgoddard,27,program,18,drought,28
predict,27,youth,18,soon,28
picture,27,influence,18,whether,28
summit,27,review,18,literally,28
stance,27,refugees,18,social,28
mayors,27,burn,18,stand,28
idea,27,proof,18,entire,28
f,27,students,18,sierraclub,28
population,27,exxonmobil,18,isis,28
proof,27,development,18,campaign,28
remove,27,age,18,racism,28
hurricanes,27,drought,18,minimum,28
mitigation,27,warn,18,liberal,28
envdefensefund,26,google,18,consequences,28
relate,26,life,18,less,28
recent,26,anymore,18,coral,28
simple,26,conservative,18,north,28
evolution,26,greenpeace,18,always,28
peace,26,soil,18,ignorance,28
outside,26,pres,18,days,28
campaign,26,design,18,alaska,28
price,26,target,18,latest,28
hard,26,sector,18,eye,28
term,26,roll,18,eu,28
promise,26,brown,18,finally,28
commitment,26,hottest,18,answer,28
billmckibben,26,season,18,do,27
okay,26,thinkprogress,18,international,27
model,26,eu,18,shoot,27
soon,26,tracker,18,least,27
bigger,26,travel,17,be,27
group,26,ppl,17,wake,27
beforetheflood,25,problem,17,business,27
program,25,summer,17,block,27
current,25,short,17,sound,27
sense,25,close,17,begin,27
id,25,light,17,seem,27
person,25,spread,17,bbc,27
court,25,guy,17,researchers,27
million,25,decades,17,slam,27
piece,25,literally,17,arent,27
behind,25,politics,17,channel,27
fall,25,animal,17,oceans,27
add,25,support,17,beforetheflood,26
whole,25,good,17,late,26
tomorrow,25,r,17,unless,26
side,25,goals,17,conservatives,26
anything,25,top,17,candidate,26
decades,25,south,17,solution,26
rich,25,sec,17,agreement,26
someone,25,transition,17,australia,26
obamas,25,billionaire,17,tveitdal,26
safety,25,develop,17,bank,26
reuters,25,per,17,beyond,26
factor,25,kamalaharris,17,shock,26
millions,25,nrdc,17,number,26
office,25,gender,17,agency,26
meat,25,verge,17,accelerate,26
davos,25,base,17,charge,26
march,25,canada,17,dismantle,26
respect,24,highlight,17,three,26
positive,24,little,17,texas,26
push,24,epas,17,lgbt,26
instead,24,wayne,17,consensus,26
americas,24,advisory,17,little,26
light,24,meat,16,allow,25
bite,24,grist,16,victims,25
rule,24,youtube,16,nations,25
consider,24,ignore,16,expect,25
ratify,24,main,16,deforestation,25
super,24,island,16,piece,25
strategy,24,investment,16,obamas,25
crime,24,die,16,develop,25
mind,24,sit,16,yeah,25
la,24,angeles,16,rain,25
sciam,24,trade,16,list,25
australia,24,do,16,write,25
children,24,threat,16,young,25
beautiful,24,u,16,check,25
federal,24,sciam,16,else,25
wef,24,game,16,model,25
council,24,inequality,16,financial,25
pull,24,refute,16,theory,25
north,24,kind,16,myth,25
scenarios,24,choose,16,tonight,25
highlight,23,unite,16,negative,25
number,23,factor,16,project,25
safe,23,technology,16,race,25
award,23,update,16,transition,25
space,23,century,16,single,25
th,23,account,16,lawsuit,25
doubt,23,piece,16,crazy,25
voice,23,consequences,16,virtually,25
remain,23,list,16,equity,25
past,23,twitter,16,truth,25
activity,23,event,16,w,25
pick,23,gov,16,official,25
pakistan,23,alaska,16,require,25
cut,23,websites,16,review,25
encourage,23,implications,16,noaa,25
technology,23,vatican,16,bird,25
areas,23,heatwaves,16,release,25
de,23,irma,16,natgeo,24
morning,23,weight,16,vow,24
stronger,23,healthcare,15,main,24
trust,23,blow,15,common,24
mayor,23,require,15,speech,24
website,23,brief,15,communities,24
bad,23,election,15,front,24
grant,23,pact,15,dollars,24
epascottpruitt,23,hour,15,full,24
truly,22,imagine,15,base,24
soil,22,rain,15,sense,24
stay,22,least,15,though,24
ahead,22,myth,15,ridiculous,24
ur,22,sweep,15,person,24
guardianeco,22,guess,15,hide,24
late,22,displace,15,b,24
bernie,22,regard,15,actonclimate,24
auspol,22,probably,15,control,24
develop,22,wildlife,15,sure,24
e,22,farm,15,hey,24
bc,22,russia,15,ive,24
accelerate,22,yall,15,coast,24
silly,22,fuck,15,fall,24
embrace,22,drop,15,severe,24
investors,22,crop,15,factor,24
canada,22,civil,15,mental,24
require,22,launch,15,deluge,24
profit,22,c,15,ok,23
ban,22,office,15,scar,23
macron,22,attend,15,yearsofliving,23
vital,21,rest,15,november,23
funny,21,photos,15,sciam,23
dicaprio,21,rapid,15,clean,23
animals,21,sierraclub,15,please,23
shouldnt,21,humanity,15,beat,23
majority,21,nowthisnews,15,cool,23
candidate,21,hey,15,strategy,23
game,21,floor,15,cover,23
stun,21,threaten,15,price,23
prevent,21,society,15,presidency,23
excite,21,nye,15,reverse,23
kind,21,town,15,god,23
blow,21,pay,15,confront,23
easy,21,pruitts,15,rest,23
latest,21,moral,15,law,23
civiljustus,21,faster,15,depression,23
ajplus,21,minutes,14,latimes,23
billion,21,solar,14,surprise,23
smart,21,idea,14,together,23
possible,21,indian,14,uncontrollable,23
liberal,21,half,14,pressure,23
whitehouse,21,longer,14,thank,23
n,21,prepare,14,statement,23
base,21,create,14,park,23
hop,21,analysis,14,manipulate,23
development,21,announce,14,callers,23
cars,21,series,14,ways,22
refugee,21,young,14,liberals,22
club,21,discussion,14,side,22
sun,20,nations,14,farmers,22
leo,20,wonder,14,meat,22
champion,20,presidency,14,reminder,22
di,20,etc,14,evolution,22
womens,20,largest,14,burn,22
gain,20,wall,14,fool,22
definitely,20,morning,14,blow,22
reminder,20,bigger,14,nonsense,22
faster,20,womens,14,land,22
engage,20,side,14,line,22
design,20,dramatically,14,clear,22
battle,20,bet,14,f,22
knowledge,20,everything,14,wef,22
drop,20,six,14,recent,22
towards,20,coastal,14,program,22
sanders,20,jerrybrowngov,14,chance,22
forward,20,centre,14,prepare,22
wonder,20,potential,14,sun,22
significant,20,measure,14,skeptics,22
farm,20,invite,14,across,22
wasnt,20,note,14,response,22
south,20,sustainable,14,focus,22
abc,20,expensive,14,pentagon,22
invest,20,reef,14,biodiversity,22
bet,20,family,14,civil,22
old,20,seem,14,fish,22
