pos_words,pos_counts,neg_words,neg_counts,neu_words,neu_counts
slow,34,admit,22,seriously,9
kerry,34,canada,22,frankly,9
directly,34,common,22,manufacture,9
full,34,relationship,22,carson,9
maximize,34,reference,22,reagan,9
pledge,34,double,22,relations,9
due,34,dramatic,22,perspective,9
brown,34,welcome,22,describe,9
blame,34,contradict,22,appeal,9
solutions,34,return,22,religious,9
confidence,34,stake,22,dana,9
resources,34,anybody,22,solve,9
market,34,experience,22,reach,9
mike,34,bear,22,meanwhile,9
angela,34,director,22,oh,9
convince,34,throw,22,recently,9
tuition,33,low,22,contributions,9
strategy,33,french,22,personal,9
literally,33,truth,22,miss,9
respond,33,compare,22,promise,9
anybody,33,previous,22,exit,9
democrat,33,primary,22,threats,9
skeptic,33,occur,22,great,9
entire,33,fix,22,atmosphere,9
men,33,totally,22,closely,9
remain,33,current,22,advocate,9
threaten,33,drop,22,ocean,9
woman,33,legacy,22,rid,9
cruz,33,fast,22,remark,9
buy,33,nominee,22,ted,9
intelligence,33,choice,22,cruz,9
spicer,33,clearly,22,dollars,9
food,32,pentagon,22,arm,9
document,32,settle,22,doubt,9
signal,32,brief,22,attention,9
essentially,32,strategy,21,okay,9
target,32,weigh,21,staff,9
price,32,potential,21,ought,9
germany,32,germany,21,tone,9
connect,32,weekend,21,curb,9
proud,32,save,21,mayors,9
mayor,32,members,21,confirmation,9
deliver,32,murder,21,publicly,9
ambitious,32,price,21,measure,9
type,32,mine,21,language,9
glad,32,confront,21,leonardo,9
heart,32,anymore,21,advance,9
often,32,bottom,21,denial,9
treaty,32,shut,21,kushner,9
denial,32,statement,21,elections,9
child,32,language,21,society,9
director,32,ability,21,road,9
trail,32,thoughts,21,capital,9
introduce,31,cia,21,whose,9
provide,31,arrest,21,vladimir,9
disagree,31,friday,21,mock,9
immediate,31,soon,21,extremely,9
initiative,31,unprecedented,21,core,8
melt,31,michael,21,problems,8
divide,31,islamic,21,texas,8
small,31,ally,21,discussions,8
deniers,31,publicly,20,session,8
four,31,violent,20,prime,8
sustainable,31,merkel,20,market,8
presidency,31,promise,20,germany,8
direction,31,refugee,20,event,8
threats,31,anyone,20,carolina,8
hundreds,31,connect,20,circle,8
weekend,31,figure,20,monday,8
fall,31,cruz,20,population,8
cold,31,gop,20,design,8
argument,31,ocean,20,seek,8
leonardo,31,large,20,period,8
fracking,31,rain,20,immigrant,8
universal,31,deliver,20,senior,8
crowd,31,stage,20,soften,8
appear,31,majority,20,equality,8
attorney,31,define,20,opposition,8
greg,31,rubio,20,biden,8
carry,30,six,20,generations,8
guard,30,paul,20,child,8
administrator,30,project,20,progressive,8
gop,30,statements,20,full,8
ed,30,appear,20,nevada,8
decisions,30,gather,20,black,8
beautiful,30,suppose,20,video,8
local,30,grandchildren,20,activities,8
balance,30,eight,20,current,8
remark,30,tom,20,assessment,8
range,30,birther,20,final,8
david,30,appeal,20,terrorism,8
fix,30,obamacare,20,light,8
cap,30,rex,20,slow,8
stake,30,india,19,negotiations,8
critical,30,piece,19,nobody,8
overwhelm,30,quickly,19,test,8
compare,30,critic,19,weigh,8
prevent,30,extremism,19,ban,8
coverage,30,picture,19,near,8
occur,30,voice,19,beach,8
propose,30,union,19,migration,8
ted,30,emergency,19,supporters,8
movement,30,highlight,19,communities,8
headline,30,predict,19,immigrants,8
