pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
small,31,discussions,8,ally,21
deniers,31,session,8,publicly,20
four,31,prime,8,violent,20
sustainable,31,market,8,merkel,20
presidency,31,germany,8,promise,20
direction,31,event,8,refugee,20
threats,31,carolina,8,anyone,20
hundreds,31,circle,8,connect,20
weekend,31,monday,8,figure,20
fall,31,population,8,cruz,20
cold,31,design,8,gop,20
argument,31,seek,8,ocean,20
leonardo,31,period,8,large,20
fracking,31,immigrant,8,rain,20
universal,31,senior,8,deliver,20
crowd,31,soften,8,stage,20
appear,31,equality,8,majority,20
attorney,31,opposition,8,define,20
greg,31,biden,8,rubio,20
carry,30,generations,8,six,20
guard,30,child,8,paul,20
administrator,30,progressive,8,project,20
gop,30,full,8,statements,20
ed,30,nevada,8,appear,20
decisions,30,black,8,gather,20
beautiful,30,video,8,suppose,20
local,30,activities,8,grandchildren,20
balance,30,current,8,eight,20
remark,30,assessment,8,tom,20
range,30,final,8,birther,20
david,30,terrorism,8,appeal,20
fix,30,light,8,obamacare,20
cap,30,slow,8,rex,20
stake,30,negotiations,8,india,19
critical,30,nobody,8,piece,19
overwhelm,30,test,8,quickly,19
compare,30,weigh,8,critic,19
prevent,30,ban,8,extremism,19
coverage,30,near,8,picture,19
occur,30,beach,8,voice,19
propose,30,migration,8,union,19
ted,30,supporters,8,emergency,19
movement,30,communities,8,highlight,19
headline,30,immigrants,8,predict,19
warn,29,pose,8,video,19
letter,29,despite,8,officer,19
mayors,29,priority,8,panel,19
require,29,climb,8,priorities,19
initiatives,29,movement,8,official,19
topics,29,concept,8,social,19
summer,29,applause,8,capital,19
